hopcount;requestratio
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.26666666666666666
2;30;0.13333333333333333
2;30;0.4
1;10;0.6000000000000001
1;10;0.2
1;10;0.2
1;10;0.4
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.6000000000000001
1;10;0.2
1;10;0.2
1;10;0.4
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.13333333333333333
2;30;0.26666666666666666
2;30;0.13333333333333333
2;30;0.4
1;10;0.6000000000000001
1;10;0.2
1;10;0.2
1;10;0.4
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.6000000000000001
1;10;0.2
1;10;0.2
1;10;0.4
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
1;10;0.2
