hopcount;requestratio
5;30;9.0
5;30;27.0
5;10;80.99999999999997
5;30;9.0
5;30;9.0
5;30;9.0
5;30;18.0
5;30;9.0
5;10;26.999999999999993
5;10;26.999999999999993
5;10;26.999999999999993
5;10;53.999999999999986
5;10;26.999999999999993
5;10;26.999999999999993
5;25;32.4
5;30;9.0
5;30;9.0
5;25;10.799999999999999
5;25;10.799999999999999
5;25;10.799999999999999
5;25;10.799999999999999
5;25;21.599999999999998
5;30;9.0
5;25;10.799999999999999
5;25;10.799999999999999
5;30;27.0
5;30;9.0
5;30;18.0
5;30;9.0
5;30;9.0
5;30;9.0
5;20;26.999999999999993
5;30;9.0
5;30;9.0
5;20;40.499999999999986
2;25;1.2
2;20;1.4999999999999998
2;20;1.4999999999999998
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
2;25;1.2
2;20;1.4999999999999998
2;20;1.4999999999999998
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
2;25;1.2
2;20;1.4999999999999998
2;20;1.4999999999999998
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
1;20;0.49999999999999994
2;25;1.2
2;20;1.4999999999999998
2;20;1.4999999999999998
1;10;0.9999999999999999
1;10;0.9999999999999999
1;20;0.49999999999999994
1;20;0.49999999999999994
