hopcount;cpuusage;cputotal;numservices
5;0.0;4480000;0
4;0.0;2800;0
3;0.0;2800;0
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
3;0.0;2800;0
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
3;0.0;2800;0
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
2;0.0;2800;0
1;1600.0;2800;18
1;1600.0;2800;18
1;1600.0;2800;18
