hopcount;cpuusage;cputotal;numservices
5;0.0;4480000;0
4;0.0;2800;0
3;0.0;2800;0
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
3;0.0;2800;0
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
3;0.0;2800;0
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
2;960.0;2800;9
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
1;2760.000000000001;2800;36
