hopcount;cpuusage;cputotal;numservices
4;0.0;4480000;0
3;0.0;2800;0
2;1600.0;2800;9
1;2400.0;2800;9
1;2400.0;2800;9
2;1600.0;2800;9
1;2400.0;2800;9
1;2400.0;2800;9
